PartnerGroup,SiteID,SiteName,Latitude,Longitude,ElevationMeters,State,SpeciesID,Genus,Species,SpeciesDesc,Kingdom,SpeciesType,SpeciesCategory,USDASymbol,ITISNumber,PhenophaseID,PhenophaseCategory,PhenophaseDesc,First_Yes_Sample_Size,First_Yes_Year,FirstYes,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,NumLastNo,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Last_Yes_Year,LastYes,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Min_Last_Yes_DOY,Max_Last_Yes_DOY,Median_Last_Yes_DOY,NumFirstNo,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Observed_Status_Conflict_Flag,Observed_Status_Conflict_Flag_Individual_IDs
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,201,Cephalanthus,occidentalis,common buttonbush,Plantae,Deciduous broadleaf,Ornamental,CEOC2,34786,498,Leaves,Colored leaves,1,2017,263,2458017,-9999,-9999,263,263,263,18,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,1,'141889',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,201,Cephalanthus,occidentalis,common buttonbush,Plantae,Deciduous broadleaf,Ornamental,CEOC2,34786,500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,201,Cephalanthus,occidentalis,common buttonbush,Plantae,Deciduous broadleaf,Ornamental,CEOC2,34786,501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,201,Cephalanthus,occidentalis,common buttonbush,Plantae,Deciduous broadleaf,Ornamental,CEOC2,34786,504,Fruits,Recent fruit or seed drop,1,2017,245,2457999,-9999,-9999,245,245,245,14,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,1,'141889',MultiObserver-StatusConflict,'141889'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,201,Cephalanthus,occidentalis,common buttonbush,Plantae,Deciduous broadleaf,Ornamental,CEOC2,34786,516,Fruits,Fruits,1,2017,355,2458109,-9999,-9999,355,355,355,1,-9999,-9999,1,2017,355,2458109,-9999,-9999,355,355,355,2,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,208,Verbesina,virginica,white crownbeard,Plantae,Forb,-9999,VEVI3,38613,482,Leaves,Initial growth (forbs),1,2017,324,2458078,-9999,-9999,324,324,324,25,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,208,Verbesina,virginica,white crownbeard,Plantae,Forb,-9999,VEVI3,38613,500,Flowers,Flowers or flower buds,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,208,Verbesina,virginica,white crownbeard,Plantae,Forb,-9999,VEVI3,38613,501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,208,Verbesina,virginica,white crownbeard,Plantae,Forb,-9999,VEVI3,38613,504,Fruits,Recent fruit or seed drop,1,2017,354,2458108,-9999,-9999,354,354,354,30,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,393,Seed cones,Ripe seed cones,1,2017,245,2457999,-9999,-9999,245,245,245,14,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',MultiObserver-StatusConflict,'142389'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,472,Needles,Falling needles,1,2017,245,2457999,-9999,-9999,245,245,245,14,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,490,Pollen cones,Pollen cones (conifers),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,231,2457985,-9999,-9999,231,231,231,14,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,491,Seed cones,Recent cone or seed drop,1,2017,245,2457999,-9999,-9999,245,245,245,14,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,495,Pollen cones,Open pollen cones (conifers),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,23,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,309,Campsis,radicans,trumpet creeper,Plantae,Deciduous broadleaf,Ornamental,CARA2,34309,390,Fruits,Ripe fruits,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,309,Campsis,radicans,trumpet creeper,Plantae,Deciduous broadleaf,Ornamental,CARA2,34309,471,Leaves,Falling leaves,1,2017,324,2458078,-9999,-9999,324,324,324,2,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,309,Campsis,radicans,trumpet creeper,Plantae,Deciduous broadleaf,Ornamental,CARA2,34309,483,Leaves,Leaves,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,309,Campsis,radicans,trumpet creeper,Plantae,Deciduous broadleaf,Ornamental,CARA2,34309,498,Leaves,Colored leaves,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',MultiObserver-StatusConflict,'141892'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,309,Campsis,radicans,trumpet creeper,Plantae,Deciduous broadleaf,Ornamental,CARA2,34309,516,Fruits,Fruits,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',MultiObserver-StatusConflict,'141892'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,722,Morella,cerifera,wax myrtle,Plantae,Evergreen broadleaf,-9999,MOCE2,507899,484,Leaves,Young leaves (tree/shrub),1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,355,2458109,-9999,-9999,355,355,355,2,-9999,-9999,1,'141891',MultiObserver-StatusConflict,'141891'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,722,Morella,cerifera,wax myrtle,Plantae,Evergreen broadleaf,-9999,MOCE2,507899,500,Flowers,Flowers or flower buds,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,0,'',MultiObserver-StatusConflict,'141891'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,722,Morella,cerifera,wax myrtle,Plantae,Evergreen broadleaf,-9999,MOCE2,507899,504,Fruits,Recent fruit or seed drop,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,722,Morella,cerifera,wax myrtle,Plantae,Evergreen broadleaf,-9999,MOCE2,507899,516,Fruits,Fruits,1,2017,324,2458078,-9999,-9999,324,324,324,2,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,Deciduous broadleaf,"Allergen,Nectar Connectors Campaign",BAHA,35682,371,Leaves,Breaking leaf buds,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,0,'',MultiObserver-StatusConflict,'141893'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,Deciduous broadleaf,"Allergen,Nectar Connectors Campaign",BAHA,35682,390,Fruits,Ripe fruits,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',MultiObserver-StatusConflict,'141893'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,Deciduous broadleaf,"Allergen,Nectar Connectors Campaign",BAHA,35682,467,Leaves,Increasing leaf size,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,0,'',MultiObserver-StatusConflict,'141893'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,Deciduous broadleaf,"Allergen,Nectar Connectors Campaign",BAHA,35682,471,Leaves,Falling leaves,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,354,2458108,-9999,-9999,354,354,354,3,-9999,-9999,0,'',MultiObserver-StatusConflict,'141893'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,Deciduous broadleaf,"Allergen,Nectar Connectors Campaign",BAHA,35682,498,Leaves,Colored leaves,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,0,'',MultiObserver-StatusConflict,'141893'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,Deciduous broadleaf,"Allergen,Nectar Connectors Campaign",BAHA,35682,504,Fruits,Recent fruit or seed drop,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,0,'',MultiObserver-StatusConflict,'141893'
Barataria Phenology Trail,27474,Visitor Center Trail,29.784473,-90.114784,0,LA,804,Baccharis,halimifolia,eastern baccharis,Plantae,Deciduous broadleaf,"Allergen,Nectar Connectors Campaign",BAHA,35682,516,Fruits,Fruits,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',MultiObserver-StatusConflict,'141893'
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,3,Acer,rubrum,red maple,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",ACRU,28728,471,Leaves,Falling leaves,1,2017,324,2458078,-9999,-9999,324,324,324,2,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,1,'141897',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,3,Acer,rubrum,red maple,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",ACRU,28728,483,Leaves,Leaves,1,2017,355,2458109,-9999,-9999,355,355,355,1,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,1,'141897',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,3,Acer,rubrum,red maple,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",ACRU,28728,498,Leaves,Colored leaves,1,2017,355,2458109,-9999,-9999,355,355,355,1,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,1,'141897',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,390,Fruits,Ripe fruits,1,2017,324,2458078,-9999,-9999,324,324,324,2,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,1,'141900',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,467,Leaves,Increasing leaf size,1,2017,355,2458109,-9999,-9999,355,355,355,1,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,471,Leaves,Falling leaves,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,1,'141900',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,498,Leaves,Colored leaves,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,1,'141900',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,81,Liquidambar,styraciflua,sweetgum,Plantae,Deciduous broadleaf,Ornamental,LIST2,19027,516,Fruits,Fruits,1,2017,324,2458078,-9999,-9999,324,324,324,2,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,1,'141900',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,392,Seed cones,Unripe seed cones,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,23,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,393,Seed cones,Ripe seed cones,1,2017,355,2458109,-9999,-9999,355,355,355,1,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,472,Needles,Falling needles,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,1,'141896',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,487,Needles,Needles (deciduous),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,354,2458108,-9999,-9999,354,354,354,1,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,490,Pollen cones,Pollen cones (conifers),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,491,Seed cones,Recent cone or seed drop,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,1,'141896',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,296,Taxodium,distichum,bald cypress,Plantae,Deciduous conifer,Ornamental,TADI2,18041,495,Pollen cones,Open pollen cones (conifers),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,299,2458053,-9999,-9999,299,299,299,7,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,305,Quercus,virginiana,live oak,Plantae,Semi-evergreen broadleaf,Allergen,QUVI,19283,471,Leaves,Falling leaves,1,2017,324,2458078,-9999,-9999,324,324,324,2,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,309,Campsis,radicans,trumpet creeper,Plantae,Deciduous broadleaf,Ornamental,CARA2,34309,467,Leaves,Increasing leaf size,1,2017,355,2458109,-9999,-9999,355,355,355,1,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,309,Campsis,radicans,trumpet creeper,Plantae,Deciduous broadleaf,Ornamental,CARA2,34309,471,Leaves,Falling leaves,1,2017,324,2458078,-9999,-9999,324,324,324,2,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,309,Campsis,radicans,trumpet creeper,Plantae,Deciduous broadleaf,Ornamental,CARA2,34309,498,Leaves,Colored leaves,1,2017,322,2458076,-9999,-9999,322,322,322,23,-9999,-9999,1,2017,354,2458108,-9999,-9999,354,354,354,1,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,940,Nyssa,aquatica,water tupelo ,Plantae,Deciduous broadleaf,-9999,NYAQ2,27824,390,Fruits,Ripe fruits,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,940,Nyssa,aquatica,water tupelo ,Plantae,Deciduous broadleaf,-9999,NYAQ2,27824,471,Leaves,Falling leaves,1,2017,299,2458053,-9999,-9999,299,299,299,5,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,940,Nyssa,aquatica,water tupelo ,Plantae,Deciduous broadleaf,-9999,NYAQ2,27824,483,Leaves,Leaves,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,940,Nyssa,aquatica,water tupelo ,Plantae,Deciduous broadleaf,-9999,NYAQ2,27824,498,Leaves,Colored leaves,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,324,2458078,-9999,-9999,324,324,324,30,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,940,Nyssa,aquatica,water tupelo ,Plantae,Deciduous broadleaf,-9999,NYAQ2,27824,504,Fruits,Recent fruit or seed drop,1,2017,299,2458053,-9999,-9999,299,299,299,5,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,1,'141895',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,940,Nyssa,aquatica,water tupelo ,Plantae,Deciduous broadleaf,-9999,NYAQ2,27824,516,Fruits,Fruits,1,2017,322,2458076,-9999,-9999,322,322,322,16,-9999,-9999,1,2017,322,2458076,-9999,-9999,322,322,322,2,-9999,-9999,0,'',-9999,''
Barataria Phenology Trail,27475,Palmetto Trail,29.783813,-90.117561,0,LA,1044,Toxicodendron,radicans,eastern poison ivy,Plantae,Deciduous broadleaf,"Invasive Plants,Allergen",TORA2,28821,467,Leaves,Increasing leaf size,1,2017,355,2458109,-9999,-9999,355,355,355,1,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,''
